Wavelength,Ethanol_1,Ethanol_2,Ethanol_3,1:0_1,1:0_2,1:0_3,.9:.1_1,.9:.1_3,0.7:0.3_1,0.7:0.3_2,0.7:0.3_3,0.5:0.5_1,0.5:0.5_2,0.5:0.5_3,0.3:0.7_1,0.3:0.7_2,0.3:0.7_3,0.1:0.9_1,0.1:0.9_2,0.1:0.9_3,0:1_1,0:1_2,0:1_3
420,0.34249723,0.386950314,0.328473598,0.148266509,0.355536431,0.12318103,0.325751454,0.315007627,0.939578533,0.723161995,0.850177109,1.27398026,1.414204955,1.036793947,1.812574744,1.744367838,1.984755754,2.544338226,2.600671053,3.149580002,3.819779634,4.105498791,3.758736134
421.0599976,0.259975523,0.321325898,0.279039085,0.354445338,0.207458556,0.225850701,0.288360149,0.52753216,1.092017293,0.689076901,1.215129137,1.363413095,1.5966295,1.775810242,2.663725853,2.819022179,2.012691736,3.821936607,3.712003469,3.380582333,4.937754154,4.996305466,4.605875969
421.9599915,0.556540191,0.630059898,0.229908541,0.246531561,0.312661082,0.200302124,0.749525309,0.652504265,1.005873322,0.873751462,0.902730763,1.690581203,1.657599449,1.981375098,2.56575799,2.232328653,2.665445566,4.555537701,4.525773525,4.396537304,6.204315662,5.615423203,5.615858555
423.0299988,0.726983786,0.654851019,0.695010543,0.141754076,0.252427518,0.319753379,0.770125926,0.789201737,0.895554841,1.00945437,1.242868185,2.44749999,2.179082394,2.765022516,3.5477314,4.584108353,4.59118557,4.730808735,5.443635464,5.563649654,7.751298428,7.274712086,8.860269547
423.9299927,1.44116652,1.272750378,1.39128077,0.807577729,0.74803853,1.057938695,1.247106433,2.19557929,3.554887056,3.905698299,4.045227051,6.198941231,6.235898495,6.500144958,10.43765068,11.47894669,10.16612911,17.03957748,15.46681404,16.44570351,20.78368568,20.74100876,21.17737579
425,6.603331089,6.63886261,6.722003937,3.279296637,3.191660881,3.940652609,9.093392372,11.24126053,17.07596207,16.92536926,17.86281013,29.69342041,29.42919922,31.09539986,52.65089417,49.3448143,49.46665955,73.88165283,78.05278778,75.3890152,99.40848541,97.20949554,103.3104095
426.0599976,23.64810562,23.72362137,23.00106812,10.3913126,10.52127266,11.91981792,25.55862045,33.16779709,55.24829102,53.5222702,56.14229965,90.94031525,91.13183594,90.73251343,152.0158539,154.9569092,153.8494873,228.9550476,233.0043793,233.9152679,317.4645386,312.3608093,320.1592407
426.9599915,51.35463715,50.79806137,50.89542389,23.14420509,23.88541794,24.19199753,53.08088303,66.37127686,110.6092834,112.895401,115.4131165,183.6912689,180.9756165,185.513504,312.3294678,310.4121399,310.1280518,473.2120667,484.9100037,484.6996155,660.9885254,648.9794312,663.3167114
428.0299988,95.05482483,90.38126373,88.62789917,38.04668808,39.28443527,40.61119843,97.84702301,113.1787643,195.2943268,200.8219757,201.2007751,328.2026672,317.5514526,340.5103455,563.2564697,554.2484131,560.7250977,853.0286255,881.2635498,876.895874,1000,1000,1000
428.9299927,133.6879272,130.5401154,127.3357544,52.48579788,57.66215134,59.21339417,138.16539,158.8360443,281.4260864,280.6497803,291.5853271,470.4632874,474.0466003,487.6846008,807.0944824,807.4137573,816.7469482,1000,1000,1000,1000,1000,1000
430,164.0415039,155.4490814,155.997757,66.99616241,68.66082764,70.1997757,169.2746277,187.7682343,350.2680969,344.1019592,349.0695801,576.010376,572.552002,586.819519,978.4232178,980.3360596,996.168335,1000,1000,1000,1000,1000,1000
431.0599976,159.6567383,148.1033936,148.3612823,64.59272766,68.09553528,67.75379944,157.3940582,175.9263153,327.2302551,317.5984192,324.9586487,535.6442261,554.293457,554.6634521,935.3555298,933.7892456,941.9542847,1000,1000,1000,1000,1000,1000
431.9599915,124.387207,125.0769196,124.3159103,52.81506729,53.41838074,53.89400864,136.9123077,140.1542053,274.3447571,269.1524963,272.0761414,448.9748535,457.3018494,453.1474609,778.864563,772.0394897,774.9802856,1000,1000,1000,1000,1000,1000
433.0299988,88.5115509,85.95098114,82.50617981,36.08473206,38.30976486,39.18548203,91.63806152,97.87014771,181.8946381,189.1912537,187.8374481,321.9363708,322.5471802,315.8952637,537.9399414,548.8899536,531.4743652,855.3882446,862.168335,880.3790894,1000,1000,1000
433.9299927,49.21840286,47.24232101,46.6096611,20.83442307,22.06463814,22.65229988,52.93302917,54.59046173,106.541008,104.9520035,102.388855,180.1833038,176.5149994,176.9960327,296.6921387,296.3878479,295.4090576,487.334259,491.0932617,485.1386719,717.5698853,661.1400757,665.6028442
435,15.12986088,14.03403187,13.83726978,5.930691719,7.205461025,6.776028156,14.08426952,17.19492722,30.38512611,29.3833828,31.63378334,53.83215714,50.20556641,49.4053154,82.21791077,81.0824585,84.15187073,131.610672,135.3270111,129.2175751,183.4455414,175.6869965,181.5380554
436.0599976,3.619214773,3.498613596,3.286666632,1.455224514,2.041656494,1.715848684,3.588619947,3.864279032,6.743846416,5.708882332,6.917198181,10.15114307,9.517241478,9.85761261,16.33166885,15.12979889,14.77382278,25.09331131,25.12137413,26.10738373,33.08226776,35.29173279,32.15825272
436.9599915,0.938738942,1.001035571,1.14742291,0.615401089,0.588200152,0.428614646,1.295244932,1.209636807,1.72599411,1.74945426,2.333661795,3.141815901,2.925811529,3.036757946,4.246196747,4.116001129,4.407130241,7.423974991,7.245553493,7.175439358,8.836424828,8.077198029,8.448708534
438.0299988,0.865252018,0.7856341,0.82568568,0.590712309,0.458152533,0.457298636,0.731688857,0.799911499,1.210664153,0.976461232,1.320703864,2.123464346,1.638183355,2.060928822,3.316610575,2.542729616,3.529901981,4.15415144,4.497363567,4.271693707,5.206945896,6.044905186,6.864229679
438.9299927,0.644925892,0.664817989,0.662492931,0.561924934,0.286070079,0.403422356,0.745868385,0.645973146,1.257719874,1.204129934,1.133891582,1.640682101,1.944526315,1.725917578,2.294173241,3.176987648,2.482303619,3.981357813,3.722300768,4.15033865,5.135435104,5.472108841,5.14885664
440,0.667302191,0.613677204,0.574877858,0.397621036,0.572896898,0.486024737,0.53359127,0.669591129,1.474534273,1.065993905,1.460004449,1.646799207,1.556218386,1.726618767,1.942452788,2.594715357,2.578729391,3.467648029,3.025020361,4.19846344,4.315969944,5.050242901,4.696238995
441.0700073,0.463056535,0.361144304,0.672824502,0.479096293,0.36532858,0.373165965,0.619038463,0.700416029,1.271743417,1.062663198,1.258009315,1.73567009,1.615591645,1.597321987,2.056013346,2.316417456,2.154643297,3.502296209,3.401749372,3.172578096,4.261136532,4.678260803,4.116952419
442,0.574300051,0.406089604,0.470228642,0.303007335,0.613809884,0.304749012,0.66954571,0.618553102,1.226646543,1.049290657,0.953918994,1.545281887,1.311555743,1.718271255,1.84531033,2.475311995,2.385605335,3.267501116,2.375236034,3.151529789,4.475558758,3.769567728,3.865881681
443.0700073,0.48735401,0.497576445,0.403873831,0.326843917,0.46818471,0.323230952,0.423980326,0.688091636,0.830843568,1.032369852,1.385828376,1.426508665,1.553238273,1.31176579,2.21799469,2.214743614,1.907001019,2.764898539,2.817504644,2.62774682,4.423410416,3.423862219,3.614704847
444,0.566421509,0.172421217,0.419470131,0.159155637,0.277616561,0.493071497,0.78158778,0.446474552,0.919093728,1.257850885,0.782577932,1.134351969,1.534665585,1.685066223,1.802309632,2.241858959,1.902488708,2.677815437,2.472356319,2.749499559,3.493382454,3.702558279,3.583498955
445.0700073,0.3040438,0.484110773,0.302859485,0.576961696,0.350084603,0.355167687,0.386808157,0.319574773,0.977290809,1.205711603,0.801583111,1.225312948,1.432947516,1.613431811,1.78777194,1.933395743,1.794238091,2.675857067,2.788779736,2.697575569,3.316807985,2.983001947,3.389859915
446,0.24958688,0.470059812,0.381974161,0.530794501,0.454281598,0.615179539,0.533542275,0.559096515,1.349049687,0.736593962,1.264819503,1.809170365,1.807017207,1.181971908,1.251522422,1.413869619,2.104975939,3.021822214,2.138738871,2.690484524,3.294334412,2.573245049,3.087268591
447.0700073,0.415352792,0.658964515,0.35074535,0.484512895,0.418270767,0.621793866,0.368969649,0.583065748,0.98739773,1.038163185,1.032652378,1.706765532,1.698938012,1.766739607,2.177055836,2.229030609,1.781366825,2.017376423,2.668108225,2.405296803,2.909853935,2.493722916,2.52050662
448,0.511286676,0.605877042,0.265710115,0.510089397,0.310931861,0.281373084,0.63205266,0.822913945,1.422867656,1.263391137,1.070157528,1.609705567,1.736672759,1.414389729,1.788063765,1.680119157,2.155574799,1.614560366,2.566368818,2.619909525,2.334878445,2.777896166,2.472824574
449.0700073,0.567584217,0.313865185,0.445344448,0.707964599,0.479257405,0.38389352,0.548043728,0.272614211,0.795272827,1.168373704,1.036415458,1.38184762,1.376146793,1.840942502,1.726969481,2.006043673,1.679454327,2.169600248,2.205062389,2.274258852,2.563384295,2.47646904,2.540681839
450,0.574237049,0.47563234,0.433297217,0.688918114,0.433532029,0.64618963,0.478510529,0.782346189,1.550812602,1.252090573,1.605659962,1.576789618,1.810785413,1.875977039,1.8164047,1.923866272,1.466708302,1.890166879,1.831848383,2.070214748,2.054627895,1.792533636,2.547887325
451.0599976,0.414155692,0.489666373,0.467914462,0.411222965,0.407712549,0.501695395,0.415660679,0.877604067,1.296351075,0.865687311,1.169842243,1.510729671,1.710060835,1.94454205,1.903537154,1.734862208,1.36843586,2.0854702,1.626264215,2.271328449,2.341003418,2.1028018,2.067435741
451.9599915,0.372998387,0.285096169,0.468020022,0.554333031,0.645453334,0.319612414,0.417518735,0.559005141,1.312123656,0.963374555,1.439347506,2.018345594,1.760882616,1.658462048,1.821586609,1.57959199,1.855557323,1.533138156,1.596709609,2.55187583,1.918945789,1.950212121,2.517148733
453.0299988,0.401486337,0.387479365,0.420245737,0.665526569,0.498942912,0.367920727,0.649682522,0.687562883,1.675776005,1.232121348,1.517134905,2.146726131,1.678552866,2.042523146,2.092317104,1.759570956,1.976753354,1.610008836,1.707130432,1.976416469,1.640696049,1.817351937,1.74219048
453.9299927,0.248138964,0.494205862,0.268930167,0.509675026,0.57094878,0.6987167,0.650680184,0.542994142,1.332145452,1.693109393,1.802197456,2.015648842,2.190235376,2.383906364,1.849649906,2.2614851,1.906805992,1.993922472,2.316427469,1.609187603,1.540645361,1.71713078,2.02223587
455,0.523411989,0.225888491,0.115822129,0.569231689,0.713236868,0.93035841,0.466305137,0.718286395,1.68831861,1.412207723,1.398540974,2.493870735,2.300196648,2.238099337,2.331418991,2.138413668,1.771196008,1.859766722,2.123429775,2.185326099,1.312212229,1.38037324,1.806637645
456.0599976,0.283361375,0.505953372,0.331884116,0.633707941,0.38718003,0.52406776,0.750598788,0.470596284,2.13267684,1.913116932,1.491634011,2.409557104,2.712949753,3.499851704,2.729818344,2.215856552,2.258061886,2.633391619,2.008873224,1.809178352,1.645308852,1.38416481,1.60192585
456.9599915,0.285375774,0.427554667,0.242132768,0.625412345,0.501062632,1.055426836,0.616219878,0.65736115,2.499461412,1.805958748,2.3016541,3.036955357,3.462028742,3.118388414,2.592935324,2.694714069,2.712229729,1.684305549,2.115931749,2.747367859,1.60664773,1.762586474,1.263918757
458.0299988,0.270867735,0.17488049,0.416765899,0.747813523,0.857461572,0.778062105,0.483833998,0.660796702,2.322437525,2.421286345,1.883090734,3.104882479,3.425399542,4.153156281,2.427779913,3.491917372,2.512395144,2.304641008,2.038019657,2.433420181,1.388543606,1.491347551,1.798436761
458.9299927,0.53790462,0.33322227,0.319542527,0.565679789,0.644939721,0.724119127,0.833576858,0.865059435,2.418797493,2.99763298,2.417737961,3.430663824,3.932274818,4.209811687,3.014814138,3.177748919,3.202834845,2.033910275,2.484326124,2.395616531,1.62974906,1.536978602,1.600512147
460,0.21306251,0.504523933,0.443757802,0.474295825,0.586464703,0.897359192,1.014553547,0.698908508,2.936483622,3.126719475,2.333958626,4.354603767,4.036335468,3.79762125,3.63850069,3.123058796,3.645117998,2.208072186,2.639839649,2.042866468,1.232142568,1.179621816,1.472766876
461.0400085,0.39825806,0.352482051,0.291128099,1.025004983,0.811308146,0.641750991,0.702807725,0.867490768,2.632683754,2.864086151,2.934189081,4.759016037,4.854661465,4.021123886,3.843562603,3.582490921,3.02218008,3.099546432,2.620962381,2.541037321,1.258609176,1.242739797,1.500426173
461.9400024,0.406648278,0.20721437,0.246998966,0.605980754,0.628124714,1.047713876,1.041260958,0.769224405,3.216212273,4.28862381,3.003055573,5.011973858,4.838147163,5.153378487,3.904032946,3.977051973,3.639166117,2.772880793,3.250307798,2.972223282,1.273079872,1.304892421,1.532541037
462.980011,0.356187224,0.150727257,0.329869717,0.826568544,0.673473477,0.562469244,1.113701105,0.903561533,3.581400871,3.764452934,4.072348118,5.070427418,6.356397629,6.09291029,3.443048239,4.393695354,3.724848509,2.571647882,2.784653664,2.678678036,1.31099534,1.45703876,0.882032514
464.019989,0.200582564,0.214383483,0.016772192,1.067018986,0.867317617,0.577874959,0.508919239,0.830114543,3.645011902,3.909908772,4.375125885,6.337049007,6.807873249,5.438652992,4.029269695,4.342373371,4.815139294,3.26150465,2.981231213,2.870769024,0.978253305,1.134372354,1.177564859
465.0700073,0.356639594,0.268424869,0.164273188,0.705898583,0.979810953,0.844088435,1.20866704,0.711963594,4.364838123,5.014786243,4.139521599,7.917985439,7.239827156,6.767295361,5.01437664,4.922584057,5.536303043,3.313964844,2.997240543,2.953510284,0.792693675,0.685912192,1.199714184
465.9700012,0.294524521,0.059417203,0.13204807,0.832242489,0.609766305,0.710719883,0.881509662,0.933029234,4.616109371,4.333499432,4.350412369,7.74471283,7.513514519,7.694839001,5.494932175,5.785591125,5.271719456,3.304040909,3.321152925,3.472552776,0.892383814,0.527040541,1.188212872
467.0100098,0.147043556,0.218750268,0.269812226,0.938836515,1.045501351,0.928577006,0.736759961,0.808157206,5.580452919,4.975632191,5.92271471,8.780822754,8.293889999,9.921961784,5.669341087,5.586545944,5.154901505,2.932756186,2.819419622,3.178212881,1.023201227,1.02456367,1.014155865
