Wavelength,Ethanol_2.5_5,Ethanol_5_5,Ethanol_5_10,0_Hg_2.5_5,0_Hg_5_5,0_Hg_5_10,0.001_Hg_2.5_5,0.001_Hg_5_5,0.001_Hg_5_10,0.0025_Hg_2.5_5,0.0025_Hg_5_5,0.0025_Hg_5_10,0.004_Hg_2.5_5,0.004_Hg_5_5,0.004_Hg_5_10,0.006_Hg_2.5_5,0.006_Hg_5_5,0.006_Hg_5_10,0.0125_Hg_2.5_5,0.0125_Hg_5_5,0.0125_Hg_5_10,0.013_Hg_2.5_5,0.013_Hg_5_5,0.013_Hg_5_10,0.016_Hg_2.5_5,0.016_Hg_5_5,0.016_Hg_5_10,0.0175_Hg_2.5_5,0.0175_Hg_5_5,0.0175_Hg_5_10,0.008_Hg_2.5_5,0.008_Hg_5_5,0.008_Hg_5_5,0.009_Hg_2.5_5,0.009_Hg_5_5,0.009_Hg_5_10
420,0.484595597,0.845187664,30.89070511,0.46813789,2.070816994,76.5766983,0.373500913,2.423831463,75.03101349,0.20303084,2.391237736,43.57247543,0.513380528,2.347612143,82.76464844,0.404664993,2.681532621,89.12253571,0.229280785,1.785588622,42.739048,0.615234196,3.17750001,75.02381134,0.211526573,3.385408163,80.88240051,0.285957068,2.068656206,37.88484192,0.541258633,1.850882888,49.09574127,0.24459447,1.64500308,38.3708992
421.0599976,0.240234897,1.381559134,55.60512924,0.408864886,2.629567623,148.0207977,0.796316981,3.868634462,151.7416992,0.327469677,3.787355661,83.90529633,0.801708162,3.694283724,160.4603729,0.659353316,4.01328373,166.8413696,0.208152935,1.901348233,76.62456512,0.447042078,4.015985012,146.4726868,0.249374479,9.32962513,149.9031219,0.490526199,4.455368519,71.92406464,0.372513473,2.297320127,93.47102356,0.351186752,1.845384955,74.7414093
421.9599915,0.098870404,2.670350075,84.85543823,1.104653597,5.320640087,240.605072,0.644180894,6.411035538,253.285202,0.449063897,7.713411808,137.8876495,0.708292961,5.952305317,257.4568787,0.869841635,8.360078812,270.869873,0.266949266,3.33122015,120.0951462,0.644411862,8.145552635,233.6110535,0.381299734,26.25688362,231.4299164,0.262734413,7.629724979,113.35392,0.413554668,3.767421007,147.455307,0.356429398,3.321836233,122.2207947
423.0299988,0.484170109,7.185027599,143.944931,0.612791419,16.37450409,379.6601257,1.392192125,16.54540443,425.1119385,0.636988878,20.54883385,218.8154602,1.49461937,17.86918259,421.7701111,1.631665587,22.08442116,447.7164001,0.333038181,8.980153084,200.5882568,0.59861815,24.07217789,373.7688293,0.52245307,76.09638214,377.7696838,0.652030408,22.99501419,184.9358368,0.639919162,11.58744717,233.1790924,0.658967733,9.871133804,207.9890289
423.9299927,0.820271969,15.61614037,206.9191437,1.764745235,40.41065216,548.4971924,2.257071257,43.74702835,622.3415527,1.703549266,53.7593689,316.0243835,3.253590107,46.16573715,612.1826782,5.164523602,47.74537659,670.8959961,1.258994341,21.7476387,299.0716248,1.688275456,61.13804626,539.9960938,1.248626471,160.3177795,543.2972412,1.252342939,47.8057518,271.7016907,1.505218863,27.74503326,332.0901184,1.226054907,22.93346977,308.6308289
425,4.440526009,40.09332657,319.6471558,7.930785179,102.5614243,807.7154541,10.527215,118.8041077,977.8674927,6.345883846,146.0563049,487.1467896,13.49031353,119.0774078,934.642334,22.46520996,123.2923126,1000,5.913704395,51.67590332,455.3712158,7.456857681,152.3374176,791.4642944,5.824970722,353.0414734,819.7888184,4.696917057,114.9761963,414.0120239,8.667721748,68.35055542,504.9593506,4.697106361,59.17863083,489.5521851
426.0599976,12.55486012,82.8352356,447.9877014,28.90550804,209.3795471,1000,36.85128784,256.8927612,1000,21.35041237,317.2683105,680.8446045,43.61746216,244.1516571,1000,69.57595825,256.1929932,1000,15.66313934,104.9119034,632.6825562,26.56895256,306.3318176,1000,19.69320107,610.8043823,1000,16.33847618,243.8176117,560.4838867,26.99238205,139.0935364,693.5475464,16.09671021,136.070755,679.8612671
426.9599915,26.71525955,134.6848602,546.5993652,57.41891479,333.9665833,1000,76.7062149,413.500061,1000,47.94412613,497.3428345,826.6688232,93.63259125,383.1555786,1000,140.676239,408.9337769,1000,31.94115257,168.337204,772.5730591,54.07561493,453.6089172,1000,38.18083572,851.0852661,1000,33.69659805,392.671051,675.1608887,55.30980682,225.93573,847.2211914,35.19282913,228.0200806,846.9660645
428.0299988,50.6923027,205.5836334,656.8569336,103.9589539,486.7499695,1000,146.7424927,616.0032959,1000,84.04221344,715.3638306,971.0949097,160.8714752,560.7973633,1000,240.5612946,603.4467773,1000,55.82662201,239.7216187,902.1741333,100.4082184,623.5406494,1000,67.85961914,1000,1000,57.71283722,556.65448,776.1295776,101.4454651,328.1203308,989.0957031,67.82207489,344.1758728,985.9776001
428.9299927,71.5896759,255.2584076,709.7313232,152.0462494,594.522644,1000,202.3723602,771.0303955,1000,119.1202087,869.1417847,1000,233.256485,697.2384033,1000,309.8552551,758.3464966,1000,77.71083069,306.0260315,992.3655396,136.9708862,758.8861694,1000,99.02086639,1000,1000,79.70500946,710.8109741,850.0567017,151.997818,412.9196472,1000,98.27871704,449.0990906,1000
430,88.35713196,303.2220764,746.8364258,186.2444916,680.2700195,1000,251.8784332,902.451355,1000,149.4003296,963.2636108,1000,286.2750244,795.338623,1000,366.8513184,886.8589478,1000,94.77818298,344.3551331,1000,167.4536896,839.3277588,1000,110.9150467,1000,1000,99.19346619,830.1650391,898.3106079,204.7918854,474.555481,1000,123.2746124,530.5888062,1000
431.0599976,84.16400909,297.7080383,746.5612183,176.9198761,672.4258423,1000,247.7362366,899.3931885,1000,150.2311096,922.4228516,1000,276.6412659,800.6135864,1000,361.4376831,913.6345215,1000,86.79968262,345.4498596,1000,158.1857147,791.9942627,1000,103.6734543,1000,1000,96.10921478,828.2166138,890.0899048,211.9172974,469.3936462,1000,113.322937,534.1732178,1000
431.9599915,71.89983368,272.1822815,722.3092041,147.6997681,593.4346924,1000,198.7592621,788.2649536,1000,131.2351074,769.8746948,1000,223.4015808,704.0029907,1000,271.088562,807.5345459,1000,72.16760254,304.732666,1000,131.7931061,678.8345337,1000,81.88755035,920.6176758,1000,75.32201385,715.492981,853.8100586,187.5406494,414.0691223,1000,96.52776337,463.5032959,1000
433.0299988,49.25880051,217.5450897,671.0983887,103.4955292,475.5346069,1000,138.0894928,631.7416382,1000,100.5943604,574.7962036,1000,155.8342896,553.8984985,1000,172.6201324,648.0901489,1000,49.65291595,240.8355103,960.7219238,88.6973877,525.1293335,1000,57.25283051,674.4394531,1000,55.33161926,543.2509155,797.2759399,137.0820618,328.4801025,1000,66.24185944,371.0111084,1000
433.9299927,29.4036274,157.8104858,624.0692749,60.70476532,347.7986755,1000,82.58018494,463.6524658,1000,61.91414642,400.8730774,910.6217041,87.96551514,402.6191711,1000,84.712677,485.2919922,1000,27.66874695,173.7628174,859.1164551,50.14523697,380.770813,1000,30.9794445,457.2739258,1000,31.98898888,381.6552124,708.2753906,79.39746857,234.9446106,937.6068726,37.20560455,268.6457214,965.6825562
435,9.368523598,87.0123291,517.8435669,19.19989204,204.0467529,1000,23.1998539,254.2554779,1000,21.60796356,210.4427643,745.6166382,25.41463089,224.804657,1000,22.26660728,263.9930725,1000,8.057801247,93.19764709,722.2938232,16.16879463,203.0623779,1000,9.463539124,227.3375854,1000,10.00212193,195.6026917,588.4571533,20.03790283,126.7735672,778.6924438,10.64762402,147.454071,802.1641846
436.0599976,2.424878836,40.2612915,406.9683228,4.756717205,100.289772,920.319397,4.7129035,124.6018677,1000,5.199527264,100.131958,596.9209595,5.20693779,109.8314209,1000,5.102842808,129.4810028,1000,1.885696411,46.23221207,571.6625977,3.918416262,98.79364014,877.0651245,1.803545833,101.2170105,754.467041,2.521923542,82.29499817,455.2771606,3.998281956,63.19671249,627.1715698,2.825262547,69.71573639,633.3979492
436.9599915,0.846569717,17.98090363,301.3119507,1.243402123,41.66533279,701.4052734,1.654875755,52.77652359,915.6011963,1.334673643,40.17856979,444.6138611,1.963014483,43.3932457,817.1209106,1.043138385,50.40105438,939.1132813,0.996495366,19.43595505,429.2377014,0.935934067,42.25841904,655.8386841,0.81182009,40.14853668,526.4212646,1.129146099,29.33694649,339.2473145,1.477430463,27.55459595,467.236145,0.763515949,28.84142303,477.9427185
